id;objectid_1;marregion;mrgid;iho_sea;iho_id;iho_mrgid;eez;eez_id;country;sovereign;sov_id;eez_mrgid;longitude;latitude;area_m2
eez_iho_union_v2.388;394;Estonian part of the Gulf of Finland;25594;Gulf of Finland;1b;2407;Estonian Exclusive Economic Zone;70;Estonia;Estonia;70;5675;25.425345323431;59.614418722811;8275596436
eez_iho_union_v2.44;45;Danish part of the Skaggerak;25227;Skaggerak;3;2379;Danish Exclusive Economic Zone;175;Denmark;Denmark;175;5674;9.500404461849;57.656106817961;10308279700
eez_iho_union_v2.389;395;Finnish part of the Gulf of Finland;25595;Gulf of Finland;1b;2407;Finnish Exclusive Economic Zone;174;Finland;Finland;174;5676;25.341418230259;60.049520408259;10063008330
eez_iho_union_v2.41;42;Danish part of the Kattegat;25224;Kattegat;2;2374;Danish Exclusive Economic Zone;175;Denmark;Denmark;175;5674;12.066566783351;55.942665560386;36894009790
eez_iho_union_v2.42;43;Swedish part of the Kattegat;25225;Kattegat;2;2374;Swedish Exclusive Economic Zone;222;Sweden;Sweden;222;5694;12.112716285764;56.883585061853;8005822937
eez_iho_union_v2.43;44;German part of the Kattegat;25226;Kattegat;2;2374;German Exclusive Economic Zone;176;Germany;Germany;176;5669;9.732527377345;54.822121340577;151528092.2
eez_iho_union_v2.45;46;Norwegian part of the Skaggerak;25229;Skaggerak;3;2379;Norwegian Exclusive Economic Zone;223;Norway;Norway;223;5686;9.22406649217;58.376212278043;15606983460
eez_iho_union_v2.46;47;Swedish part of the Skaggerak;25228;Skaggerak;3;2379;Swedish Exclusive Economic Zone;222;Sweden;Sweden;222;5694;10.881881317695001;58.376706470665;6513140733
eez_iho_union_v2.390;396;Russian part of the Gulf of Finland;25596;Gulf of Finland;1b;2407;Russian Exclusive Economic Zone;73;Russia;Russia;73;5690;28.063680903962;60.044465382062;11597177740
eez_iho_union_v2.386;392;Finnish part of the Gulf of Bothnia;25592;Gulf of Bothnia;1a;2402;Finnish Exclusive Economic Zone;174;Finland;Finland;174;5676;21.45341408197;62.219986313091;64585379780
eez_iho_union_v2.387;393;Swedish part of the Gulf of Bothnia;25593;Gulf of Bothnia;1a;2402;Swedish Exclusive Economic Zone;222;Sweden;Sweden;222;5694;20.036684873138;62.970609929456;54249449490
eez_iho_union_v2.391;398;Latvian part of the Gulf of Riga;25597;Gulf of Riga;1c;2409;Latvian Exclusive Economic Zone;69;Latvia;Latvia;69;5683;23.503282630609;57.490533364322;7867941863
eez_iho_union_v2.392;399;Estonian part of the Gulf of Riga;25598;Gulf of Riga;1c;2409;Estonian Exclusive Economic Zone;70;Estonia;Estonia;70;5675;23.278057758434;58.253867480597;10551431120
eez_iho_union_v2.451;459;Latvian part of the Baltic Sea;25669;Baltic Sea;1;2401;Latvian Exclusive Economic Zone;69;Latvia;Latvia;69;5683;20.461959563419;56.919158848225;20912166710
eez_iho_union_v2.452;460;Estonian part of the Baltic Sea;25670;Baltic Sea;1;2401;Estonian Exclusive Economic Zone;70;Estonia;Estonia;70;5675;21.60300406306;58.663996772838;16946333390
eez_iho_union_v2.453;461;Finnish part of the Baltic Sea;25672;Baltic Sea;1;2401;Finnish Exclusive Economic Zone;174;Finland;Finland;174;5676;21.272556155685;59.460498671297;9115083464
eez_iho_union_v2.454;463;Lithuanian part of the Baltic Sea;25677;Baltic Sea;1;2401;Lithuanian Exclusive Economic Zone;189;Lithuania;Lithuania;189;5684;20.426867621934;55.727253860614;6096127235
eez_iho_union_v2.455;464;Polish part of the Baltic Sea;25674;Baltic Sea;1;2401;Polish Exclusive Economic Zone;178;Poland;Poland;178;5687;17.165191255504;54.912204842023;31881206100
eez_iho_union_v2.456;465;Russian part of the Baltic Sea;25680;Baltic Sea;1;2401;Russian Exclusive Economic Zone;73;Russia;Russia;73;5690;19.897613308519;55.194851405439;11557921720
eez_iho_union_v2.457;466;Swedish part of the Baltic Sea;25678;Baltic Sea;1;2401;Swedish Exclusive Economic Zone;222;Sweden;Sweden;222;5694;17.856583247006;57.392745140124;91096107420
eez_iho_union_v2.458;467;German part of the Baltic Sea;25679;Baltic Sea;1;2401;German Exclusive Economic Zone;176;Germany;Germany;176;5669;12.76257714888;54.461594192154;15298506610
eez_iho_union_v2.522;540;Danish part of the Baltic Sea;25673;Baltic Sea;1;2401;Danish Exclusive Economic Zone;175;Denmark;Denmark;175;5674;11.97106423189;54.793687928835;5769535755
